# Copyright (c) 1966-2018 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2018-04-24
# See end of file for additional documentation on specific fields
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Gene Name	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
chr21	29024616	29054487	21q21.3	21q21.3	604735	USP16, UBPM	Ubiquitin-specific protease 16	USP16	10600	ENSG00000156256			Usp16 (MGI:1921362)
chr21	32291812	32314783	21q22.1	21q22.11	609196	MRAP, FALP, C21orf61, GCCD2, FGD2	Melanocortin 2 receptor accessory protein	MRAP	56246	ENSG00000170262		Glucocorticoid deficiency 2, 607398 (3), Autosomal recessive	Mrap (MGI:1924287)
chr21	33402895	33437520	21q22.1-q22.2	21q22.11	147569	IFNGR2, IFNGT1, IFGR2, IMD28	Interferon gamma receptor-2 (interferon gamma transducer 1)	IFNGR2	3460	ENSG00000159128		Immunodeficiency 28, mycobacteriosis, 614889 (3), Autosomal recessive	Ifngr2 (MGI:107654)
chr21	33642399	33899860	21q22.1-q22.2	21q22.11	602442	ITSN1, SH3D1A, SH3P17	Intersectin 1 (SH3 domain protein-1A)	ITSN1	6453	ENSG00000205726			Itsn1 (MGI:1338069)
chr21	34364023	34371140	21q22.1	21q22.11	603796	KCNE2, MIRP1, LQT6, ATFB4	Potassium voltage-gated channel, Isk-related family, member 2	KCNE2	9992	ENSG00000159197		Atrial fibrillation, familial, 4, 611493 (3); Long QT syndrome 6, 613693 (3), Autosomal dominant	Kcne2 (MGI:1891123)
chr21	39184175	39321594	21q22.2-q22.3	21q22.2	617824	BRWD1, WRD9, C21orf107	Bromodomain and WD repeat domain-containing protein 1	BRWD1	54014	ENSG00000185658			Brwd1 (MGI:1890651)
chr21	42893267	42911395	21q22.3	21q22.3	602184	NDUFV3	NADH-ubiquinone oxidoreductase flavoprotein 3, 10kD	NDUFV3	4731	ENSG00000160194			Ndufv3 (MGI:1890894)
chr21	44246338	44262215	21q22.3	21q22.3	606588	DNMT3L	DNA methyltransferase 3-like protein	DNMT3L	29947	ENSG00000142182			Dnmt3l (MGI:1859287)
chr21	44300033	44327380	21q22.3	21q22.3	171860	PFKL	Phosphofructokinase, liver type	PFKL	5211	ENSG00000141959		Hemolytic anemia due to phosphofructokinase deficiency (1)	Pfkl (MGI:97547)
chr21	46135980	46156481	21q22.3	21q22.3	606806	FTCD	Formiminotransferase cyclodeminase	FTCD	10841	ENSG00000160282		Glutamate formiminotransferase deficiency, 229100 (3), Autosomal recessive	Ftcd (MGI:1339962)
chr21	46188445	46228823	21q22.3	21q22.3	600909	LSS, OSC, CTRCT44	Lanosterol synthase	LSS	4047	ENSG00000160285		Cataract 44, 616509 (3), Autosomal recessive	Lss (MGI:1336155)
chr22	19479293	19520611	22q11.2	22q11.21	603465	CDC45L, CDC45L2, MGORS7	Cell division cycle 45, S. Cerevisiae, homolog-like	CDC45	8318	ENSG00000093009		Meier-Gorlin syndrome 7, 617063 (3), Autosomal recessive	Cdc45 (MGI:1338073)
chr22	19756702	19783592	22q11.2	22q11.21	602054	TBX1, DGS, CTHM, CAFS, TGA, DORV, VCFS, DGCR	T-box 1	TBX1	6899	ENSG00000184058		Conotruncal anomaly face syndrome, 217095 (3); DiGeorge syndrome, 188400 (3), Autosomal dominant; Tetralogy of Fallot, 187500 (3), Autosomal dominant; Velocardiofacial syndrome, 192430 (3), Autosomal dominant	Tbx1 (MGI:98493)
chr22	21207971	21283022	22q11.1	22q11.21	137181	GGT2	Gamma-glutamyltransferase-2	GGT2	728441	ENSG00000133475		[Gamma-glutamyltransferase, familial high serum], 137181 (2)
chr22	22895374	22895693	22q11.2	22q11.22	147220	IGLC1, IGLC	Constant region of lambda light chains	IGLC1	3537		several genes
chr22	23180364	23318036	22q11.21	22q11.23	151410	BCR, CML, PHL, ALL	Breakpoint cluster region	BCR	613	ENSG00000186716	Ph1=t(9;22) (q34.1;q11.21); fused with ABL in CML	Leukemia, acute lymphocytic, somatic, 613065 (3); Leukemia, chronic myeloid, somatic, 608232 (3)	Bcr (MGI:88141)
chr22	26599277	26618103	22q11.2-q12.1	22q12.1	600929	CRYBB1, CATCN3, CTRCT17	Crystallin, beta B1	CRYBB1	1414	ENSG00000100122		Cataract 17, multiple types, 611544 (3), Autosomal recessive, Autosomal dominant	Crybb1 (MGI:104992)
chr22	38056310	38075703	22q12.3-q13.2	22q13.1	605926	PICK1, PRKCABP	Protein interacting with C kinase 1	PICK1	9463	ENSG00000100151			Pick1 (MGI:894645)
chr22	50444999	50475070	22q13.33	22q13.33	603560	SBF1, MTMR5, CMT4B3	SET-binding factor 1 (myotubularin-related protein 5)	SBF1	6305	ENSG00000100241		Charcot-Marie-Tooth disease, type 4B3, 615284 (3), Autosomal recessive	Sbf1 (MGI:1925230)
chr22	50523567	50526438	22q13	22q13.33	604272	SCO2, CEMCOX1, MYP6	SCO2 cytochrome c oxidase assembly protein	SCO2	9997	ENSG00000130489		Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1, 604377 (3), Autosomal recessive; Myopia 6, 608908 (3), Autosomal dominant	Sco2 (MGI:3818630)
chr22	50622753	50628172	22q13.31-qter	22q13.33	607574	ARSA	Arylsulfatase A	ARSA	410	ENSG00000100299		Metachromatic leukodystrophy, 250100 (3), Autosomal recessive	Arsa (MGI:88077)
chrX	37780016	37813460	Xp21.1	Xp21.1-p11.4	300481	CYBB, CGD, AMCBX2, IMD34	Cytochrome b-245, beta polypeptide	CYBB	1536	ENSG00000165168	proximal to DMD	Chronic granulomatous disease, X-linked, 306400 (3), X-linked recessive; Immunodeficiency 34, mycobacteriosis, X-linked, 300645 (3), X-linked recessive	Cybb (MGI:88574)
chrX	47561099	47571920	Xp11.4-p11.2	Xp11.3	311010	ARAF1, RAFA1, PKS2	Oncogene ARAF1	ARAF	369	ENSG00000078061			Araf (MGI:88065)
chrX	48521775	48528715	Xp11.23-p11.22	Xp11.23	300205	EBP, CDPX2, CPXD, CPX, MEND	Emopamil-binding protein	EBP	10682	ENSG00000147155		Chondrodysplasia punctata, X-linked dominant, 302960 (3), X-linked dominant; MEND syndrome, 300960 (3), X-linked recessive	Ebp (MGI:107822)
chrX	48897861	48903144	Xp11.23	Xp11.23	300463	PQBP1, NPW38, SHS, MRX55, MRXS3, RENS1, MRXS8	Polyglutamine-binding protein 1	PQBP1	10084	ENSG00000102103		Renpenning syndrome, 309500 (3), X-linked recessive	Pqbp1 (MGI:1859638)
chrX	48922023	48960782	Xp11.23	Xp11.23	300713	OTUD5, DUBA	OTU domain-containing protein 5	OTUD5	55593	ENSG00000068308
chrX	71107403	71111630	Xq13	Xq13.1	308380	IL2RG, SCIDX1, SCIDX, IMD4	Interleukin-2 receptor, gamma	IL2RG	3561	ENSG00000147168	linked to DXS159	Combined immunodeficiency, X-linked, moderate, 312863 (3), X-linked recessive; Severe combined immunodeficiency, X-linked, 300400 (3), X-linked recessive	Il2rg (MGI:96551)
chrX	78104168	78126826	Xq13	Xq21.1	311800	PGK1, PGKA	Phosphoglycerate kinase-1	PGK1	5230	ENSG00000102144	?Xq13.3; pseudogenes PGK1P1 on Xq, PGK1P2 on chr. 6	Phosphoglycerate kinase 1 deficiency, 300653 (3), X-linked recessive	Pgk1 (MGI:97555)
chrX	100644165	100671298	Xq21.33-q23	Xq22.1	300642	SRPX2, SRPUL, RESDX	SUSHI repeat-containing protein, X-linked, 2	SRPX2	27286	ENSG00000102359	mutation identified in 1 RESDX family	?Rolandic epilepsy, mental retardation, and speech dyspraxia, 300643 (3)	Srpx2 (MGI:1916042)
chrX	116170704	116174971	Xq23	Xq23	300034	AGTR2	Angiotensin receptor 2	AGTR2	186	ENSG00000180772			Agtr2 (MGI:87966)
chrX	120625673	120630149	Xq23	Xq24	300611	C1GALT1C1, COSMC, C1GALT2, TNPS	C1GALT1-specific chaperone 1	C1GALT1C1	29071	ENSG00000171155		Tn polyagglutination syndrome, somatic, 300622 (3)	C1galt1c1 (MGI:1913493)
chrX	154458280	154473645	Xq28	Xq28	300022	SEX	Sex chromosome X transmembrane protein of HGF receptor family 3	PLXNA3	55558	ENSG00000130827			Plxna3 (MGI:107683)
chrY	2786854	2787740	Yp11.3	Yp11.2	480000	SRY, TDF, TDY, SRXX1, SRXY1	Sex-determining region Y (testis determining factor)	SRY	6736	ENSG00000184895		46XX sex reversal 1, 400045 (3); 46XY sex reversal 1, 400044 (3)
chrY	12701230	12860842	Yq11.2	Yq11.221	400005	USP9Y, DFFRY, SPGFY2	Ubiquitin-specific protease-9, Y chromosome (Drosophila fat facets related, Y-linked)	USP9Y	8287	ENSG00000114374		Spermatogenic failure, Y-linked, 2, 415000 (3), Y-linked	Usp9y (MGI:1313274)
